algorithm,state,action
ExpectedSARSA,39,0
ExpectedSARSA,40,0
ExpectedSARSA,41,0
ExpectedSARSA,42,0
ExpectedSARSA,43,0
ExpectedSARSA,44,0
ExpectedSARSA,45,0
ExpectedSARSA,46,0
ExpectedSARSA,47,0
DoubleQLearning,0,1
DoubleQLearning,1,1
DoubleQLearning,2,1
DoubleQLearning,3,1
DoubleQLearning,4,1
DoubleQLearning,5,1
DoubleQLearning,6,1
DoubleQLearning,7,1
DoubleQLearning,8,1
DoubleQLearning,9,1
DoubleQLearning,10,1
DoubleQLearning,11,2
DoubleQLearning,12,0
DoubleQLearning,13,0
DoubleQLearning,14,0
DoubleQLearning,15,0
DoubleQLearning,16,0
DoubleQLearning,17,0
DoubleQLearning,18,0
DoubleQLearning,19,0
DoubleQLearning,20,0
DoubleQLearning,21,0
DoubleQLearning,22,1
DoubleQLearning,23,2
DoubleQLearning,24,0
DoubleQLearning,25,0
DoubleQLearning,26,0
DoubleQLearning,27,1
DoubleQLearning,28,0
DoubleQLearning,29,1
DoubleQLearning,30,1
DoubleQLearning,31,3
DoubleQLearning,32,3
DoubleQLearning,33,0
DoubleQLearning,34,1
DoubleQLearning,35,2
DoubleQLearning,36,0
DoubleQLearning,37,0
DoubleQLearning,38,0
DoubleQLearning,39,0
DoubleQLearning,40,0
DoubleQLearning,41,0
DoubleQLearning,42,0
DoubleQLearning,43,0
DoubleQLearning,44,0
DoubleQLearning,45,0
DoubleQLearning,46,0
DoubleQLearning,47,0
MonteCarloControl,0,3
MonteCarloControl,1,2
MonteCarloControl,2,3
MonteCarloControl,3,0
MonteCarloControl,4,2
MonteCarloControl,5,1
MonteCarloControl,6,1
MonteCarloControl,7,2
MonteCarloControl,8,3
MonteCarloControl,9,1
MonteCarloControl,10,3
MonteCarloControl,11,2
MonteCarloControl,12,2
MonteCarloControl,13,1
MonteCarloControl,14,2
MonteCarloControl,15,1
MonteCarloControl,16,1
MonteCarloControl,17,2
MonteCarloControl,18,2
MonteCarloControl,19,2
MonteCarloControl,20,1
MonteCarloControl,21,2
MonteCarloControl,22,1
MonteCarloControl,23,2
MonteCarloControl,24,1
MonteCarloControl,25,1
MonteCarloControl,26,1
MonteCarloControl,27,1
MonteCarloControl,28,1
MonteCarloControl,29,1
MonteCarloControl,30,1
MonteCarloControl,31,1
MonteCarloControl,32,1
MonteCarloControl,33,1
MonteCarloControl,34,1
MonteCarloControl,35,2
MonteCarloControl,36,2
MonteCarloControl,37,0
MonteCarloControl,38,0
MonteCarloControl,39,0
MonteCarloControl,40,0
MonteCarloControl,41,0
MonteCarloControl,42,0
MonteCarloControl,43,0
MonteCarloControl,44,0
MonteCarloControl,45,0
MonteCarloControl,46,0
MonteCarloControl,47,0
DQN,0,2
DQN,1,3
DQN,2,1
DQN,3,1
DQN,4,1
DQN,5,1
DQN,6,2
DQN,7,3
DQN,8,3
DQN,9,3
DQN,10,2
DQN,11,3
DQN,12,1
DQN,13,1
DQN,14,1
DQN,15,0
DQN,16,1
DQN,17,2
DQN,18,2
DQN,19,3
DQN,20,1
DQN,21,2
DQN,22,1
DQN,23,2
DQN,24,1
DQN,25,0
DQN,26,3
DQN,27,0
DQN,28,0
DQN,29,1
DQN,30,1
DQN,31,1
DQN,32,1
DQN,33,1
DQN,34,1
DQN,35,2
DQN,36,0
DQN,37,3
DQN,38,1
DQN,39,1
DQN,40,1
DQN,41,3
DQN,42,1
DQN,43,1
DQN,44,1
DQN,45,1
DQN,46,1
DQN,47,3
QActorCritic,0,1
QActorCritic,1,1
QActorCritic,2,1
QActorCritic,3,1
QActorCritic,4,1
QActorCritic,5,1
QActorCritic,6,1
QActorCritic,7,1
QActorCritic,8,1
QActorCritic,9,1
QActorCritic,10,1
QActorCritic,11,2
QActorCritic,12,1
QActorCritic,13,1
QActorCritic,14,1
QActorCritic,15,1
QActorCritic,16,1
QActorCritic,17,1
QActorCritic,18,1
QActorCritic,19,1
QActorCritic,20,1
QActorCritic,21,1
QActorCritic,22,1
QActorCritic,23,2
QActorCritic,24,1
QActorCritic,25,1
QActorCritic,26,1
QActorCritic,27,1
QActorCritic,28,1
QActorCritic,29,1
QActorCritic,30,1
QActorCritic,31,1
QActorCritic,32,1
QActorCritic,33,1
QActorCritic,34,1
QActorCritic,35,2
QActorCritic,36,0
QActorCritic,37,1
QActorCritic,38,1
QActorCritic,39,1
QActorCritic,40,1
QActorCritic,41,1
QActorCritic,42,1
QActorCritic,43,1
QActorCritic,44,1
QActorCritic,45,1
QActorCritic,46,1
QActorCritic,47,1
PPO,0,1
PPO,1,1
PPO,2,1
PPO,3,1
PPO,4,1
PPO,5,1
PPO,6,1
PPO,7,1
PPO,8,2
PPO,9,2
PPO,10,2
PPO,11,1
PPO,12,1
PPO,13,1
PPO,14,1
PPO,15,1
PPO,16,1
PPO,17,1
PPO,18,1
PPO,19,1
PPO,20,1
PPO,21,1
PPO,22,1
PPO,23,2
PPO,24,1
PPO,25,0
PPO,26,1
PPO,27,0
PPO,28,1
PPO,29,1
PPO,30,1
PPO,31,0
PPO,32,1
PPO,33,1
PPO,34,1
PPO,35,2
PPO,36,0
PPO,37,1
PPO,38,1
PPO,39,1
PPO,40,1
PPO,41,1
PPO,42,1
PPO,43,1
PPO,44,1
PPO,45,1
PPO,46,1
PPO,47,1
